,Name,Image_x,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image_y,Updated Date,Tier
173,Midge,https://vignette.wikia.nocookie.net/animalcrossing/images/1/15/Midge_NewLeaf_Official.png/revision/latest/scale-to-width-down/301?cb=20130721195051,Female,Normal,Bird,March 12th (Pisces),Pisces,"""tweedledee""","New Spring Tee (AF, AF+, AC, AFe+, CF, NL), Silk Shirt (NH)",Midge's hair salon,Tongue Twisters,Artist,"Blend,Lots of milk,Three spoonfuls of sugar",Iconic,K.K. Lullaby,"AF, AF+, AC, AFe+, CF, NL, NH",196,84,https://www.animalcrossingportal.com/images/villagers/icons/midge.png,1st May 2020,Tier 5
384,Mint,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5b/Mint_NH.png/revision/latest?cb=20200309012012,Female,Snooty,Squirrel,May 2nd (Taurus),Taurus,"""ahhhhhh""",Gumdrop Tee,An ice-cream shop,Cramming For Tests,Architect,"Blend,No milk,No sugar",Official,K.K. Soul,"AF, AF+, AC, AFe+, WW, CF, NL, NH",197,85,https://www.animalcrossingportal.com/images/villagers/icons/mint.png,1st May 2020,Tier 5
341,Monique,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/-Monique_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/226?cb=20130708010412,Female,Snooty,Cat,September 30th (Libra),Libra,"""pffffft""",Grape Tee,A room with stained glass,Juggling,Drummer,"Kilimanjaro,None at all,None at all",Ornate,K.K. Swing,"AF, AF+, AC, AFe+, WW, CF, NL, NH",198,86,https://www.animalcrossingportal.com/images/villagers/icons/monique.png,1st May 2020,Tier 5
90,Mott,https://vignette.wikia.nocookie.net/animalcrossing/images/3/38/Mott_NewLeaf_Official.png/revision/latest/scale-to-width-down/289?cb=20130721195620,Male,Jock,Lion,July 10th (Cancer),Cancer,"""cagey""",Pirate's Coat (CF)Blue Letter Jacket (NL)College Cardigan (NH),Unknown,Mental Math,Lawyer,"Blue Mountain,  None at all,  None at all",Iconic,Marine Song 2001,"CF, NL, NH",199,87,https://www.animalcrossingportal.com/images/villagers/icons/mott.png,1st May 2020,Tier 5
14,Murphy,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a7/Murphy_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161146,Male,Cranky,Cub,December 29th (Capricorn),Capricorn,"""laddie""",Static Shirt (AC)Purple Tie Dye (NL) Fishing Vest (NH),Unknown,Brainteasers,Teacher,"Blend,A little bit of milk,1 spoonful of sugar",Unknown,K.K. D & B,"AF, AF+, AC, AFe+, NL, NH",200,88,https://www.animalcrossingportal.com/images/villagers/icons/murphy.png,1st May 2020,Tier 5
207,Nana,https://vignette.wikia.nocookie.net/animalcrossing/images/9/98/Nana_NewLeaf_Official.png/revision/latest/scale-to-width-down/317?cb=20130818041645,Female,Normal,Monkey,August 23rd (Virgo),Virgo,"""po po""",Bubble-Gum Tee,A serene park to lunch in,Making Crafts,Judge,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Cute,K.K. Dixie,"WW, CF, NL, HHD, PC, NH",201,89,https://www.animalcrossingportal.com/images/villagers/icons/nana.png,1st May 2020,Tier 5
346,Naomi,https://vignette.wikia.nocookie.net/animalcrossing/images/3/37/Naomi_HHD.png/revision/latest?cb=20160624002846,Female,Snooty,Cow,February 28th (Pisces),Pisces,"""moolah""",Groovy Tee,An art gallery,Photography,Designer,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Modern,K.K. Milonga,"NL, HHD, PC, NH",202,90,https://www.animalcrossingportal.com/images/villagers/icons/naomi.png,1st May 2020,Tier 5
112,Nate,https://vignette.wikia.nocookie.net/animalcrossing/images/f/ff/Nate.png/revision/latest/scale-to-width-down/240?cb=20130718135921,Male,Lazy,Bear,August 16th (Leo),Leo,"""yawwwn""",Spring Shirt,A cardboard life,Playing Horseshoes,Sumo Wrestler,"Mocha,None at all,None at all",Basic,K.K. Lullaby,"AF, AF+, AC, AFe+, CF, NL, NH",203,91,https://www.animalcrossingportal.com/images/villagers/icons/nate.png,1st May 2020,Tier 5
273,Nibbles,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NIbbles_NH.png/revision/latest?cb=20200309020910,Female,Peppy,Squirrel,July 19th (Cancer),Cancer,"""niblet""",Watermelon Tee(AF - NL) Watermelon Tank(NH),Unknown,Juggling,Journalist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Technopop,"AF, AF+, AC, AFe+, WW, CF, NL, NH",204,92,https://www.animalcrossingportal.com/images/villagers/icons/nibbles.png,1st May 2020,Tier 5
331,O'Hare,https://vignette.wikia.nocookie.net/animalcrossing/images/8/81/O%27_Hare_NH.png/revision/latest/scale-to-width-down/248?cb=20200311015610,Male,Smug,Rabbit,July 24th (Leo),Leo,"""amigo""",Blue Aloha Tee,A tropical resort,Air Guitar,Musician,"Blend,No milk,No sugar",Modern,K.K. Island,"AF+, AC, AFe+, NL, HHD, PC, NH",205,93,https://www.animalcrossingportal.com/images/villagers/icons/ohare.png,1st May 2020,Tier 5
302,Olaf,https://vignette.wikia.nocookie.net/animalcrossing/images/6/66/Olaf_HD.png/revision/latest/scale-to-width-down/350?cb=20180710230500,Male,Smug,Anteater,May 19th (Taurus),Taurus,"""whiffa""",Matador's Jacket,A million-Bell view,Dancing,Dancer,"Blend,  None at all,  None at all",Official,K.K. Milonga,"New Leaf,  Happy Home Designer,  New Horizons",206,94,https://www.animalcrossingportal.com/images/villagers/icons/olaf.png,1st May 2020,Tier 5
181,Olive,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c4/Olive_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161153,Female,Normal,Cub,July 12th (Cancer),Cancer,"""sweet pea""",Dapper Tee(NL)Plover Dress(NH),Unknown,Dancing,Pastry Chef,"Blue Mountain,No milk,No sugar",Basic,Café K.K.,"AF, AF+, AC, AFe+, NL, NH",207,95,https://www.animalcrossingportal.com/images/villagers/icons/olive.png,1st May 2020,Tier 5
151,Ozzie,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a6/Ozzie_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130818041815,Male,Lazy,Koala,May 7th (Taurus),Taurus,"""ol' bear""",Giraffe Tee,A trip to the school nurse,Baton Twirling,Pro Golfer,"Kilimanjaro, Lots of milk, Three spoonfuls of sugar",Iconic,Mr. K.K.,"AF, AF+, AC, AFe+, NL, NH",208,96,https://www.animalcrossingportal.com/images/villagers/icons/ozzie.png,1st May 2020,Tier 5
240,Patty,https://vignette.wikia.nocookie.net/animalcrossing/images/8/86/Patty_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/344?cb=20130708042313,Female,Peppy,Cow,May 10th (Taurus),Taurus,"""how-now""",Citrus Tee,An everyday cookout,Competitive Eating,Pastry Chef,"Kilimanjaro, The regular amount of milk,  Two spoonfuls of sugar",Modern,K.K. Calypso,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",209,97,https://www.animalcrossingportal.com/images/villagers/icons/patty.png,1st May 2020,Tier 5
60,Peck,https://vignette.wikia.nocookie.net/animalcrossing/images/5/51/HNI_0009.png/revision/latest?cb=20161229005802,Male,Jock,Bird,July 25th (Leo),Leo,"""crunch""",Gray Tank(NL) Raglan Tee(NH),A birdcage,Rock Paper Scissors,Firefighter,"Blend,Lots of milk,Three spoonfuls of sugar",Sporty,Forest Life,"NL, HHD, NH",210,98,https://www.animalcrossingportal.com/images/villagers/icons/peck.png,1st May 2020,Tier 5
328,Phil,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/Phil_NH.png/revision/latest/scale-to-width-down/264?cb=20200308185050,Male,Smug,Ostrich,November 27th (Sagittarius),Sagittarius,"""hurk""",Dawn Tee  (New Leaf) Fischerhemd  (New Horizons) ,A personal micro cosmos,Beat Boxing,Baseball Player,"Mocha,The regular amount of milk, Two spoonfuls of sugar",Iconic,Steep Hill,"NL, HHD, NH",211,99,https://www.animalcrossingportal.com/images/villagers/icons/phil.png,1st May 2020,Tier 5
73,Pierce,https://vignette.wikia.nocookie.net/animalcrossing/images/8/80/Pierce_NH.png/revision/latest/scale-to-width-down/350?cb=20200227200120,Male,Jock,Eagle,January 8th (Capricorn),Capricorn,"""hawkeye""",Circus ShirtCamel Shirt (NL),A classy training room,Playing Catch,Rugby Player,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Étude,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",212,100,https://www.animalcrossingportal.com/images/villagers/icons/pierce.png,1st May 2020,Tier 5
233,Piper,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9a/Piper_HD.png/revision/latest/scale-to-width-down/350?cb=20180518160447,Female,Peppy,Bird,April 18th (Aries),Aries,"""chickadee""","Striking Outfit (AFe+)Tropical Tee (NL, PC)",Unknown,Board Games,Translator,"Blend,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Synth,"AF, AF+, AC, AFe+, NL, HHD, PC, NH",213,101,https://www.animalcrossingportal.com/images/villagers/icons/piper.png,1st May 2020,Tier 5
231,Pinky,https://vignette.wikia.nocookie.net/animalcrossing/images/1/1b/Pinky_NewLeaf_Official.png/revision/latest/scale-to-width-down/261?cb=20130721202731,Female,Peppy,Bear,September 9th (Virgo),Virgo,"""wah""",Dazed Tee,A feng-shui flow,Hula Dancing,Cartoonist,"Blend,The regular amount of milk,Two spoonfuls of sugar",Cute,Imperial K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",214,102,https://www.animalcrossingportal.com/images/villagers/icons/pinky.png,1st May 2020,Tier 5
68,Poncho,https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/Poncho_NewLeaf_Official.png/revision/latest/scale-to-width-down/275?cb=20130721204234,Male,Jock,Cub,January 2nd (Capricorn),Capricorn,"""li'l bear""",Blue-Grid Tee,A wild west space,Making Puns,Astronaut,"Mocha, Lots of milk, Three spoonfuls of sugar",Basic,K.K. Condor,"AF, AF+, AC, AFe+, WW, CF, NL, NH",215,103,https://www.animalcrossingportal.com/images/villagers/icons/poncho.png,1st May 2020,Tier 5
350,Portia,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/Portia_NewLeaf_Official.png/revision/latest/scale-to-width-down/305?cb=20130721204752,Female,Snooty,Dog,October 25th (Scorpio),Scorpio,"""ruffian""","Polar Fleece (AC, WW, CF)Blue Diamond Tee (NL)Rad power skirt suit (NH)",A tribute to Festivale,Photography,Stylist,"Mocha,The regular amount of milk,Two spoonfuls sugar",Modern,Café K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, NH",216,104,https://www.animalcrossingportal.com/images/villagers/icons/portia.png,1st May 2020,Tier 5
249,Puddles,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d1/Puddles_NewLeaf_Official.png/revision/latest?cb=20130721205303,Female,Peppy,Frog,January 13th (Capricorn),Capricorn,"""splish""",Lovely Tee,"An adorable, pink room",Limboing,Tennis Player,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Ornate,K.K. Ballad,"AF, AF+, AC, AFe+, WW, CF, NL, NH",217,105,https://www.animalcrossingportal.com/images/villagers/icons/puddles.png,1st May 2020,Tier 5
124,Pudge,https://vignette.wikia.nocookie.net/animalcrossing/images/7/72/Pudge_NewLeaf_Official.png/revision/latest/scale-to-width-down/269?cb=20130721205448,Male,Lazy,Cub,June 11th (Gemini),Gemini,"""pudgy""","Green Ring Shirt (Animal Crossing, Wild World)Chichi-Print Tee (City Folk)",A nouveau-riche retreat,Blowing Bubbles,Chef,"Blend, Just a little bit of milk,  One spoonful of sugar",Historical,Rockin' K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, NH",218,106,https://www.animalcrossingportal.com/images/villagers/icons/pudge.png,1st May 2020,Tier 5
144,Raddle,https://vignette.wikia.nocookie.net/animalcrossing/images/3/32/Raddle_HD.png/revision/latest/scale-to-width-down/350?cb=20180518162935,Male,Lazy,Frog,June 6th (Gemini),Gemini,"""aaach-""","Blue Aloha Shirt (AFe+)Doctor's Coat (NL, PC)",Unknown,Pretending To Sleep,Doctor,"Blend,Lots of milk,3 spoonfuls of sugar",Unknown,Mr. K.K.,"AFe+, NL, NH",219,107,https://www.animalcrossingportal.com/images/villagers/icons/raddle.png,1st May 2020,Tier 5
392,Renee,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ef/Ren%C3%A9e_NH.png/revision/latest/scale-to-width-down/350?cb=20200317172610,Female,Sisterly,Rhino,May 28th (Gemini),Gemini,"""yo yo yo""",Sailor's Tee,A vacant lot,Making Puns,Marathon Runner,"Kilimanjaro, The regular amount of milk, 2 spoonfuls of sugar",Rock 'N' Roll,Surfin' K.K.,"NL, HHD, NH",220,108,https://www.animalcrossingportal.com/images/villagers/icons/renee.png,1st May 2020,Tier 5
289,Rocket,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/Rocket_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163430,Female,Sisterly,Gorilla,April 14th (Aries),Aries,"""vroom""",No. 4 Shirt,A superhero hideout,Cramming For Tests,Swimmer,"Kilimanjaro, The regular amount of milk, Two spoonfuls of sugar",Sporty,K.K. Adventure,"NL, NH",221,109,https://www.animalcrossingportal.com/images/villagers/icons/rocket.png,1st May 2020,Tier 5
94,Rod,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/Famitsu-magazine-scans-animal-crossing-new-horizons-january-villager-renders-0.png/revision/latest?cb=20200329092630,Male,Jock,Mouse,August 14th (Leo),Leo,"""ace""",Zipper Shirt,A pirate hideout,Sprinting,Explorer,"Mocha,  No milk,  No sugar",Rock 'N' Roll,K.K. March,"AFe+, WW, CF, NL, NH",222,110,https://www.animalcrossingportal.com/images/villagers/icons/rod.png,1st May 2020,Tier 5
48,Rolf,https://vignette.wikia.nocookie.net/animalcrossing/images/9/93/Rolf_NH.png/revision/latest/scale-to-width-down/288?cb=20200308194629,Male,Cranky,Tiger,August 22nd (Leo),Leo,"""grrrolf""",Bubble Tee (AC-NL) Down Jacket (NH),A camping collection,Doing Handstands,Pro Wrestler,"Mocha,A little bit of milk,One spoonful of sugar",Iconic,Spring Blossoms,"AF, AF+, AC, AFe+, WW, CF, NL, NH",223,111,https://www.animalcrossingportal.com/images/villagers/icons/rolf.png,1st May 2020,Tier 5
33,Rooney,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3d/Rooney_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163952,Male,Cranky,Kangaroo,December 1st (Sagittarius),Sagittarius,"""punches""",Black Track Jacket,A boxing gym,Doing Push-Ups,Boxer,"Blue Mountain,Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Adventure,"NL, NH",224,112,https://www.animalcrossingportal.com/images/villagers/icons/rooney.png,1st May 2020,Tier 5
108,Rowan,https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Nhrowan.png/revision/latest/scale-to-width-down/350?cb=20200317171739,Male,Jock,Tiger,August 26th (Virgo),Virgo,"""mango""",Blue Aloha Shirt (AC)Aqua Polka Tee (WW - NH,A treasure shop,Waking Up Early,Basketball Player,"Mocha,A little bit of milk,One spoonful of sugar",Rock 'N' Roll,K.K. Love Song,"AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",225,113,https://www.animalcrossingportal.com/images/villagers/icons/rowan.png,1st May 2020,Tier 5
226,Sally,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/Sally_NH.png/revision/latest?cb=20200309012550,Female,Normal,Squirrel,June 19th (Gemini),Gemini,"""nutmeg""","Neo-Classic Knit  (AC)Icy Shirt  (WW, CF, NL) Winter Sweater (NH)",A green space with flowers,Blowing Bubbles,Chef,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Official,K.K. Fusion,"AF, AF+, AC, AFe+, WW, CF, NL, NH",226,114,https://www.animalcrossingportal.com/images/villagers/icons/sally.png,1st May 2020,Tier 5
200,Savannah,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9d/Savannah_NewLeaf_Official.png/revision/latest/scale-to-width-down/304?cb=20130818042146,Female,Normal,Horse,January 25th (Aquarius),Aquarius,"""y'all""",Deep-Blue Tee,A home with natural beauty.,Calculating Tips,Tour Guide,"Kilimanjaro,No milk,No sugar",Modern,Forest Life,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",227,115,https://www.animalcrossingportal.com/images/villagers/icons/savannah.png,1st May 2020,Tier 5
72,Scoot,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f7/Scoot_NewLeaf_Official.png/revision/latest?cb=20130721211852,Male,Jock,Duck,June 13th (Gemini),Gemini,"""zip zoom""",Frog Tee,A house with a pool,Climbing Trees,Rugby Player,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Sporty,Marine Song 2001,"AF, AF+, AC, AFe+ CF, NL, NH",228,116,https://www.animalcrossingportal.com/images/villagers/icons/scoot.png,1st May 2020,Tier 5
293,Shari,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/Shari_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164657,Female,Sisterly,Monkey,April 10th (Aries),Aries,"""cheeky""",Silk Bloom Tee,A bed of nonwilting flowers.,Remembering Stuff,Figure Skater,"Blend, No milk, No sugar",Cute,K.K. Oasis,"NL, PC, NH",229,117,https://www.animalcrossingportal.com/images/villagers/icons/shari.png,1st May 2020,Tier 5
106,Sheldon,https://vignette.wikia.nocookie.net/animalcrossing/images/c/ce/Sheldon_NH.png/revision/latest/scale-to-width-down/350?cb=20200309012427,Male,Jock,Squirrel,February 26th (Pisces),Pisces,"""cardio""",Tiger Jacket,An all-you-can-game room,Making Puns,Mayor,"Kilimanjaro,a little bit of milk,one spoonful of sugar",Rock 'N' Roll,K.K. Folk,"NL, NH",230,118,https://www.animalcrossingportal.com/images/villagers/icons/sheldon.png,1st May 2020,Tier 5
154,Simon,https://vignette.wikia.nocookie.net/animalcrossing/images/9/97/Simon_NewLeaf_Official.png/revision/latest/scale-to-width-down/293?cb=20130721211951,Male,Lazy,Monkey,January 19th (Capricorn),Capricorn,"""zzzook""",Red-Bar Tee,A banana bungalow,Memorizing Stuff,Movie Director,"Blend,  No milk,  No sugar",Sporty,Forest Life,"WW, CF, NL, NH",231,119,https://www.animalcrossingportal.com/images/villagers/icons/simon.png,1st May 2020,Tier 5
55,Sly,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c6/Sly_HHD.png/revision/latest?cb=20161213012341,Male,Jock,Alligator,November 15th (Scorpio),Scorpio,"""hoo-rah""",Jungle-Camo Tee,A jungle,Pretending To Sleep,Explorer,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Rock 'N' Roll,K.K. Safari,"NL, NH",232,120,https://www.animalcrossingportal.com/images/villagers/icons/sly.png,1st May 2020,Tier 5
361,Soleil,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f8/Soleil_WA.png/revision/latest/scale-to-width-down/350?cb=20180505151740,Female,Snooty,Hamster,August 9th (Leo),Leo,"""tarnation""",Swell Tee,A summery stronghold,Skimming Books,Translator,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Modern,K.K. Oasis,"NL, NH",233,121,https://www.animalcrossingportal.com/images/villagers/icons/soleil.png,1st May 2020,Tier 5
61,Sparro,https://vignette.wikia.nocookie.net/animalcrossing/images/b/ba/Sparro_HD.png/revision/latest/scale-to-width-down/350?cb=20180613022323,Male,Jock,Bird,November 20th (Scorpio),Scorpio,"""like whoa""",BB Tee,A place to retire,Playing Poker,Musician,"Blend,Lots of milk,Three spoonfuls of sugar",Historical,Steep Hill,"NL, NH",234,122,https://www.animalcrossingportal.com/images/villagers/icons/sparro.png,1st May 2020,Tier 5
221,Stella,https://vignette.wikia.nocookie.net/animalcrossing/images/9/95/Stella_NH.png/revision/latest/scale-to-width-down/350?cb=20200321205930,Female,Normal,Sheep,April 9th (Aries),Aries,"""baa-dabing""",Aurora Knit,Unknown,Magic Tricks,Professor,"Kilimanjaro,Lots of milk,3 spoonfuls of sugar",Unknown,Only Me,"AF, AF+, AC, AFe+, NL, NH",235,123,https://www.animalcrossingportal.com/images/villagers/icons/stella.png,1st May 2020,Tier 5
74,Sterling,https://vignette.wikia.nocookie.net/animalcrossing/images/4/4f/Sterling_NH.png/revision/latest/scale-to-width-down/350?cb=20200226235239,Male,Jock,Eagle,December 11th (Sagittarius),Sagittarius,"""skraaaaw""",Scale-Armor Suit,An outer-space space,Doing Push-Ups,Police Officer,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Historical,Lucky K.K.,"CF, NL, NH",236,124,https://www.animalcrossingportal.com/images/villagers/icons/sterling.png,1st May 2020,Tier 5
65,Stinky,https://vignette.wikia.nocookie.net/animalcrossing/images/4/43/Stinky-1-.png/revision/latest?cb=20200417130345,Male,Jock,Cat,August 17th (Leo),Leo,"""GAHHHH""",Splendid Tee,A pro-wrestling ring,Chugging Milk,Rugby Player,"Blue Mountain, The regular amount of milk,Two spoonfuls of sugar",Sporty,Go K.K. Rider!,"AF, AF+, AC, AFe+, CF, NL, NH",237,125,https://www.animalcrossingportal.com/images/villagers/icons/stinky.png,1st May 2020,Tier 5
116,Stu,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3b/Stu_NewHorizons.png/revision/latest?cb=20200408105347,Male,Lazy,Bull,April 20th (Taurus),Taurus,"""moo-dude""",seven-ball Shirt,Unknown,Hitting Snooze,Firefighter,"Mocha, a little bit of milk, 1 spoonful of sugar",Unknown,K.K. Rockabilly,"AF, AF+, AC, AFe+, NL, NH",238,126,https://www.animalcrossingportal.com/images/villagers/icons/stu.png,1st May 2020,Tier 5
206,Sydney,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bb/Sydney_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721212702,Female,Normal,Koala,June 21st (Gemini),Gemini,"""sunshine""",Big-Dot Tee,An office with a phone,Chopping Vegetables,Translator,"Mocha,None at all,None at all",Iconic,K.K. Country,"AF, AF+, AC, AFe+, CF, NL, NH",239,127,https://www.animalcrossingportal.com/images/villagers/icons/sydney.png,1st May 2020,Tier 5
227,Sylvana,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fc/Sylvana_NH.png/revision/latest?cb=20200309023320,Female,Normal,Squirrel,October 22nd (Libra),Libra,"""hubbub""",Kiwi shirt(AFe+ - NL) Kiwi Tank(NH),Unknown,Doodling,Superhero,"Blue Mountain,Lots of milk,3 spoonfuls of sugar",Unknown,Spring Blossoms,"AFe+, NL, NH",240,128,https://www.animalcrossingportal.com/images/villagers/icons/sylvana.png,1st May 2020,Tier 5
238,Tabby,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3e/-Tabby_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/271?cb=20130708015816,Female,Peppy,Cat,August 13th (Leo),Leo,"""me-WOW""","Fish-Bone Shirt (Animal Crossing & Animal Forest e+)Bone Shirt (Wild World, City Folk & New Leaf)","An old, abandoned hospital",Telling Jokes,Tennis Player,"Blue Mountain, The regular amount of milk,Two spoonfuls of sugar",Sporty,To The Edge,"AF, AF+, AC, AFe+, WW, CF, NL,  NH",241,129,https://www.animalcrossingportal.com/images/villagers/icons/tabby.png,1st May 2020,Tier 5
104,Tank,https://vignette.wikia.nocookie.net/animalcrossing/images/0/09/NH-Tank-Render.png/revision/latest/scale-to-width-down/315?cb=20200202220541,Male,Jock,Rhino,May 6th (Taurus),Taurus,"""kerPOW""",No. 1 Shirt,Unknown,Doing Push-Ups,Cartoonist,"Blue Mountain,No Milk,No Sugar",Rock 'N' Roll,K.K. Lament,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",242,130,https://www.animalcrossingportal.com/images/villagers/icons/tank.png,1st May 2020,Tier 5
57,Teddy,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0f/-Teddy_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/241?cb=20130708013554,Male,Jock,Bear,September 26th (Libra),Libra,"""grooof""",Club Tee,An awards podium,Playing Old Maid,Police Officer,"Blend, The regular amount of milk, Two spoonfuls of sugar",Basic,Mr. K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",243,131,https://www.animalcrossingportal.com/images/villagers/icons/teddy.png,1st May 2020,Tier 5
378,Tiffany,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f0/Tiffany_NH.png/revision/latest/scale-to-width-down/265?cb=20200321104144,Female,Snooty,Rabbit,January 9th (Capricorn),Capricorn,"""bun bun""","Spider-web Tee (AFe+, WW, CF, NL)Chic Tuxedo Dress (NH)",A gorgeous celebrity home,Oversleeping,Ceo,"Kilimanjaro,A little bit of milk, One spoonful of sugar",Rock 'N' Roll,K.K. Rock,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",244,132,https://www.animalcrossingportal.com/images/villagers/icons/tiffany.png,1st May 2020,Tier 5
381,Timbra,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/Timbra_NH.png/revision/latest/scale-to-width-down/350?cb=20200312022209,Female,Snooty,Sheep,October 21st (Libra),Libra,"""pine nut""",Giraffe Tee,A stargazer's dream,Spoon Bending,Stylist,"Blend,The regular amount of milk,Two spoonfuls of sugar",Ornate,K.K. Cruisin',"NL, NH",245,133,https://www.animalcrossingportal.com/images/villagers/icons/timbra.png,1st May 2020,Tier 5
347,Tipper,https://vignette.wikia.nocookie.net/animalcrossing/images/2/23/Tipper_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/340?cb=20130708044642,Female,Snooty,Cow,August 25th (Virgo),Virgo,"""pushy""",Rainbow Tee,A dairy farm,Staying Up Late,Violinist,"Blue Mountain,None at all,None at all",Flashy,Soulful K.K.,"WW, CF, NL, NH",246,134,https://www.animalcrossingportal.com/images/villagers/icons/tipper.png,1st May 2020,Tier 5
141,Tucker,https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/Tucker_HD.png/revision/latest/scale-to-width-down/350?cb=20180518162550,Male,Lazy,Elephant,September 7th (Virgo),Virgo,"""fuzzers""",Leopard Tee,A fresh start,Oversleeping,Archaeologist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,K.K. Safari,"NL, HHD, PC, NH",247,135,https://www.animalcrossingportal.com/images/villagers/icons/tucker.png,1st May 2020,Tier 5
232,Tutu,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2c/Tutu.png/revision/latest/scale-to-width-down/300?cb=20130718140022,Female,Peppy,Bear,September 15th (Virgo),Virgo,"""twinkles""","Heart Tee (AF, AC. WW. CF, NL)Heart Sweater (NH)",A cool place to chill out,Typing,Teacher,"Blend, The regular amount of milk, Two spoonfuls of sugar",Cute,K.K. Steppe,"AF, AF+, AC, AFe+, CF, NL, HHD, NH",248,136,https://www.animalcrossingportal.com/images/villagers/icons/tutu.png,1st May 2020,Tier 5
234,Twiggy,https://vignette.wikia.nocookie.net/animalcrossing/images/2/26/Twiggy_NewLeaf_Official.png/revision/latest?cb=20130818075928,Female,Peppy,Bird,July 13th (Cancer),Cancer,"""cheepers""",Barber Tee,Surrounded by souvenirs,Spoon Bending,Dentist,"Kilimanjaro,None at all,None at all",Flashy,K.K. Calypso,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",249,137,https://www.animalcrossingportal.com/images/villagers/icons/twiggy.png,1st May 2020,Tier 5
