,Name,Image,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances
225,Marcel,https://vignette.wikia.nocookie.net/animalcrossing/images/4/44/Marcel_NewLeaf_Official.png/revision/latest/scale-to-width-down/307?cb=20130721193940,Male,Lazy,Dog,December 31st (Capricorn),(Capricorn),"""non""",Chichi-Print Tee,A zen-like washroom,Eating frequently,Artist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,Comrade K.K.,"CF, NL, NH"
379,Walker,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ae/Walker_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/306?cb=20130708045047,Male,Lazy,Dog,June 10th (Gemini),(Gemini),"""wuh""",No. 67 Shirt,A dream room...for a bike,Clearing my plate,Photographer,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Historical,Two Days Ago,"AFe+, WW, CF, NL"
110,Derwin,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fd/Derwin_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708033351,Male,Lazy,Duck,May 25th (Gemini),(Gemini),"""derrrrr""",Yellow-Bar Tee,A private study space,Brainteasers,Doctor,"Blend, None at all, None at all",Official,The K. Funk,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
120,Drake,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d9/Drake_NewLeaf_Official.png/revision/latest?cb=20130818040432,Male,Lazy,Duck,June 25th (Cancer),(Cancer),"""quacko""",Folk Shirt,A break room with a view,Rock paper scissors,Cartoonist,"Blend,None at all,None at all",Modern,K.K. Blues,"WW, CF, NL, HHD, PC, NH"
185,Joey,https://vignette.wikia.nocookie.net/animalcrossing/images/7/72/Joey_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708040004,Male,Lazy,Duck,January 3rd (Capricorn),(Capricorn),"""bleeeeeck""",No.3 Shirt,A spa featuring cool milk,Blowing bubbles,Sumo wrestler,"Blend,None at all,None at all",Basic,K.K. Calypso,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
382,Weber,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c2/Weber_HD.png/revision/latest/scale-to-width-down/350?cb=20180410104325,Male,Lazy,Duck,June 30th (Cancer),(Cancer),"""quaa""",Fish Knit AFe+Bubble Tee NL,Unknown,Beat boxing,Musician,"Blue Mountain, Lots of milk, 3 spoonfuls of sugar",Unknown,K.K. Fusion,"AF, AF+, AC, AFe+, NL, NH"
39,Big Top,https://vignette.wikia.nocookie.net/animalcrossing/images/2/26/Big_Top_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/350?cb=20130707210448,Male,Lazy,Elephant,October 3rd (Libra),(Libra),"""villain""",No. 3 Shirt,A superhero cafeteria,Tiptoeing,Superhero,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Metal,"AFe+, WW, CF, NL, HHD, PC, NH"
113,Dizzy,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9c/Dizzy_NewLeaf_Official.png/revision/latest/scale-to-width-down/329?cb=20130721182759,Male,Lazy,Elephant,July 14th (Cancer),(Cancer),"""woo-oo""",No. 5 Shirt,A super-fun play space,Chugging milk,Journalist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Gumbo,"AF, AF+, AC, AFe+, WW, CF, NL, NH, Nintendo Land"
263,Paolo,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b1/Paolo_HD.png/revision/latest/scale-to-width-down/350?cb=20180506195048,Male,Lazy,Elephant,May 5th (Taurus),(Taurus),"""pal""","N64 Shirt (AF)GC Shirt/Diner Uniform (AF+)Cherry Shirt (PG, AFe+)Pastel-Stripe Tee (NL, PC)Star Tee (HHD)",Unknown,Competitive eating,Hair Stylist,"Mocha,The regular amount of milk,2 spoonfuls of sugar",Unknown,Unknown,"AF, AF+, AC, AFe+, NL, NH"
366,Tucker,https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/Tucker_HD.png/revision/latest/scale-to-width-down/350?cb=20180518162550,Male,Lazy,Elephant,September 7th (Virgo),(Virgo),"""fuzzers""",Leopard Tee,A fresh start,Oversleeping,Archeologist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,K.K. Safari,"NL, HHD, PC, NH"
183,Jeremiah,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/Jeremiah_NewLeaf_Official.png/revision/latest?cb=20130818040721,Male,Lazy,Frog,July 8th (Cancer),(Cancer),"""nee-deep""",Sunset Tee,"A blue room, top to bottom",Hitting snooze,Writer,"Kilimanjaro, None at all, None at all",Basic,K.K. Mambo,"AF, AF+, AC, AFe+, WW, CF, NL NH"
288,Prince,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7b/Prince_NewLeaf_Official.png/revision/latest?cb=20130721204925,Male,Lazy,Frog,July 21st (Cancer),(Cancer),"""burrup""",Yellow-Bar TeeYellow Striped Shirt (NH),A barbershop for beards,Playing old maid,Carpenter,"Kilimanjaro, None at all, None at all",Historical,To the Edge,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH"
296,Raddle,https://vignette.wikia.nocookie.net/animalcrossing/images/3/32/Raddle_HD.png/revision/latest/scale-to-width-down/350?cb=20180518162935,Male,Lazy,Frog,June 6th (Gemini),(Gemini),"""aaach-""","Blue Aloha Shirt (AFe+)Doctor's Coat (NL, PC)",Unknown,Pretending to sleep,Doctor,"Blend,Lots of milk,3 spoonfuls of sugar",Unknown,Mr. K.K.,"AFe+, NL, NH"
329,Sherb,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d6/Sherb.png/revision/latest?cb=20200406180522,Male,Lazy,Goat,January 18th (Capricorn),(Capricorn),"""bawwww""",Winter Sweater,Unknown,Talking to bugs,Unknown,Unknown,Unknown,Hypno K.K.,"PC, NH"
3,Al,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b0/Al_NewHorizons.png/revision/latest?cb=20200408175037,Male,Lazy,Gorilla,October 18th (Libra),(Libra),"""Ayyeeee""",Red Warmup Suit,A kid-friendly exercise room,Jumping rope,Journalist,"Mocha,Lots of milk,Three spoonfuls of sugar",Basic,Steep Hill,"CF, NL, HHD, NH"
87,Clay,https://vignette.wikia.nocookie.net/animalcrossing/images/4/47/Clay_HD.png/revision/latest/scale-to-width-down/350?cb=20180405153835,Male,Lazy,Hamster,October 19th (Libra),(Libra),"""thump""",Uncommon Shirt,A spooky haunted house,Writing backwards,Archeologist,"Mocha,None at all,None at all",Historical,K.K. Safari,"NL, NH"
89,Clyde,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/Clyde_NewHorizons.png/revision/latest?cb=20200407223055,Male,Lazy,Horse,May 1st (Taurus),(Taurus),"""clip-clawp""",Bubble Gum Tee,A fresh and fruity room,Pretending to Sleep,Superhero,"Blend,Lots of milk,Three spoonfuls of sugar",Flashy,K.K. Dixie,"CF, NL, NH"
126,Elmer,https://vignette.wikia.nocookie.net/animalcrossing/images/1/15/Elmer_NewLeaf_Official.png/revision/latest/scale-to-width-down/265?cb=20130721184056,Male,Lazy,Horse,October 5th (Libra),(Libra),"""tenderfoot""",Gaudy Sweater  Periwinkle Tee (NL),A sock shop for sock lovers,Playing old maid,Police officer,"Blend, Lots of milk, Three spoonfuls of sugar",Basic,K.K. Waltz,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
262,Papi,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a8/Papi.png/revision/latest/scale-to-width-down/350?cb=20180312015617,Male,Lazy,Horse,January 10th (Capricorn),(Capricorn),"""haaay""",Speedway Tee,A wood-inspired abode,Ventriloquism,Cartoonist,"Blue Mountain,  The regular amount of milk,  Two spoonfuls of sugar",Basic,Hypno K.K.,"NL, NH"
259,Ozzie,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a6/Ozzie_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130818041815,Male,Lazy,Koala,May 7th (Taurus),(Taurus),"""ol' bear""",Giraffe Tee,A trip to the school nurse,Baton twirling,Pro golfer,"Kilimanjaro, Lots of milk, Three spoonfuls of sugar",Iconic,Mr. K.K.,"AF, AF+, AC, AFe+, NL, NH"
301,Rex,https://vignette.wikia.nocookie.net/animalcrossing/images/a/aa/Rex_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164520,Male,Lazy,Lion,July 24th (Leo),(Leo),"""cool cat""",Blue-Bar Tee,Unknown,Chugging milk,Forest Ranger,"Blend,A little bit of milk,1 spoonful of sugar",Basic,Wandering,"AF, AF+, AC, AFe+, NL, HHD, PC, NH"
109,Deli,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a1/Deli_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164618,Male,Lazy,Monkey,May 24th (Gemini),(Gemini),"""monch""",Blue Diamond Tee,A room scented by curry,Jumping rope,Musician,"Blue Mountain, Lots of milk, Three spoonfuls of sugar",Iconic,K.K. Marathon,"NL, NH"
330,Simon,https://vignette.wikia.nocookie.net/animalcrossing/images/9/97/Simon_NewLeaf_Official.png/revision/latest/scale-to-width-down/293?cb=20130721211951,Male,Lazy,Monkey,January 19th (Capricorn),(Capricorn),"""zzzook""",Red-Bar Tee,A banana bungalow,Memorizing,Movie director,"Blend,  No milk,  No sugar",Sporty,Forest Life,"WW, CF, NL, NH"
56,Broccolo,https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/Broccolo_NewLeaf_Official.png/revision/latest?cb=20130721175332,Male,Lazy,Mouse,June 30th (Cancer),(Cancer),"""eat it""",Kiddie Tee,A bug house,Climbing trees,Movie director,"Blend, The regular amount of milk,  Two spoonfuls of sugar",Flashy,K.K. Ragtime,"AFe+, CF, NL, HHD, PC, NH"
390,Zucker,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8e/NH-icon-Zucker-00.png/revision/latest/scale-to-width-down/299?cb=20200224185341,Male,Lazy,Octopus,March 8th (Pisces),(Pisces),"""bloop""",Flan Tank(NL) Happi(NH),Unknown,Baton twirling,Chef,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Official,Spring Blossoms,"NL, HHD, NH"
97,Cranston,https://vignette.wikia.nocookie.net/animalcrossing/images/2/20/Cranston_NH_2.png/revision/latest/scale-to-width-down/259?cb=20200505230114,Male,Lazy,Ostrich,September 23rd (Libra),(Libra),"""sweatband""",Lotus Tee,A place to grow rice,Backflipping,CEO,"Blend,None at all,None at all",Modern,Steep Hill,"NL, HHD, NH"
50,Boomer,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/Boomer_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721174546,Male,Lazy,Penguin,February 7th (Aquarius),(Aquarius),"""human""","Blue Aloha Shirt (AF+, AC, AFe+)Explorer Tee (CF, NL)",A captain's cockpit,Oversleeping,Pilot,"Blend,A little bit of milk,One spoonful of sugar",Historical,Aloha K.K.,"AF+, AC, AFe+, CF, NL, HHD, NH"
99,Cube,https://vignette.wikia.nocookie.net/animalcrossing/images/1/10/Cube_NH.png/revision/latest?cb=20200226233057,Male,Lazy,Penguin,January 29th (Aquarius),(Aquarius),"""brainfreeze""","N64 Logo Shirt (AF) GC logo Shirt (AC)Big-Dot Tee (WW, CF, NL, PC, NH)",An eco-friendly factory,Staying awake,Astronaut,"Blend,A little bit of milk,One spoonful of sugar",Cute,K.K. Technopop,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
289,Puck,https://vignette.wikia.nocookie.net/animalcrossing/images/4/4d/PuckNH.png/revision/latest?cb=20200330231824,Male,Lazy,Penguin,February 21st (Pisces),(Pisces),"""brrrrrrrrr""",BB Tee,A chilly room for icy sports,Doing handstands,Superhero,"Blend, A little bit of milk,  One sugar",Sporty,K.K. Casbah,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH"
378,Wade,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bb/Wade_HD.png/revision/latest/scale-to-width-down/350?cb=20180518165210,Male,Lazy,Penguin,October 30th (Scorpio),(Scorpio),"""so it goes""","Spade Shirt (AFe+, NL)Frog Shirt (NH)",Unknown,Rock paper scissors,Explorer,"Blue Mountain,No milk,No sugar",Unknown,K.K. Jongara,"AFe+, NL, NH"
176,Hugh,https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/Hugh_NewLeaf_Official.png/revision/latest/scale-to-width-down/279?cb=20130721192027,Male,Lazy,Pig,December 30th (Capricorn),(Capricorn),"""snortle""",Jade Plaid Tee,"Eat, drink, sleep. Repeat.",Eating quickly,Carpenter,"Kilimanjaro,A lot of milk,Three spoonfuls of sugar",Modern,K.K. Mambo,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
338,Spork,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/Spork_NewHorizons.png/revision/latest?cb=20200408191029,Male,Lazy,Pig,September 3rd (Virgo),(Virgo),"""snork""",Jade Plaid Tee,A school cafeteria,Chugging milk,Poet,"Kilamanjaro,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Mambo,"AF, AF+, AC, AFe+, CF, NL, HHD, NH"
85,Claude,https://vignette.wikia.nocookie.net/animalcrossing/images/1/1f/Claude_NH.png/revision/latest/scale-to-width-down/256?cb=20200322125457,Male,Lazy,Rabbit,December 3rd (Sagittarius),(Sagittarius),"""hopalong""",Dark Polka Tee,A pro-Nintendo game shop.,Calculating tips,Superhero,"Blend, None at all, None at all",Unknown,Pondering,"AF, AF+, AC, AFe+NL, HHD, NH"
93,Cole,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f6/Cole_NH.png/revision/latest/scale-to-width-down/251?cb=20200322122206,Male,Lazy,Rabbit,August 10th (Leo),(Leo),"""duuude""",Citrus Tee (AC-NL) Citrus Tank(NH),A tropical resort,Drawing circles,Painter,"Blend,No milk,No sugar",Modern,Spring Blossoms,"NL, HHD, NH"
115,Doc,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cd/Doc_NH.png/revision/latest/scale-to-width-down/252?cb=20200322125229,Male,Lazy,Rabbit,March 16th (Pisces),(Pisces),"""ol' bunny""",Vertigo Tee (AFe+ - NL) Red Flannel Shirt(NH),A fun place for books,Typing,Programmer,"Kilimanjaro,  A little bit of milk, One spoonful of sugar",Official,Pondering,"AF, AF+, AC, AFe+, NL, HHD, NH"
172,Hopkins,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c1/Hopkins_NH.png/revision/latest/scale-to-width-down/252?cb=20200321142217,Male,Lazy,Rabbit,March 11th (Pisces),(Pisces),"""thumper""",Racer Tee (AFe+ - PC) Blue Stripe Tee(NH),Unknown,Oversleeping,Chef,"Blend, None at all, None at all",Sporty,I Love You,"AFe+, NL, PC, NH"
174,Hornsby,https://vignette.wikia.nocookie.net/animalcrossing/images/9/95/Hornsby_NH.png/revision/latest/scale-to-width-down/333?cb=20200312014627,Male,Lazy,Rhino,March 20th (Pisces),(Pisces),"""schnozzle""",Chevron Shirt,Unknown,Bunting/Comedy,Artist,"Blend,A little bit of milk,1 spoonful of sugar",Unknown,Aloha K.K. (AC)K.K. Lament (NL)]],"AF, AF+, AC, AFe+, NL, NH"
135,Filbert,https://vignette.wikia.nocookie.net/animalcrossing/images/8/81/Filbert_NH.png/revision/latest?cb=20200309020807,Male,Lazy,Squirrel,June 3rd (Gemini),(Gemini),"""bucko""","Vogue Top (AC, WW, CF)Checkered Tee (NL, PC)",A bounty of balloons,Vaulting,Pilot,"Blue Mountain, Lots of milk, Three spoonfuls of sugar.",Basic,Two Days Ago,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
151,Gayle,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7a/Gayle_HD.png/revision/latest/scale-to-width-down/350?cb=20180518013116,Female,Normal,Alligator,May 17th (Taurus),(Taurus),"""snacky""",Heart Tee,A home with heart,Hula dancing,Gymnast,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Cute,Bubblegum K.K.,"NL, HHD, PC, NH"
13,Annalisa,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/CTRP_EAA_NPC-ant08_1_R_ad.png/revision/latest/scale-to-width-down/350?cb=20180312015133,Female,Normal,Anteater,February 6th (Aquarius),(Aquarius),"""gumdrop""",Dazed Tee,A zen restaurant,Waking up early,Astronaut,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,King K.K.,"NL, NH"
230,Megan,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6c/Megan_Poster_NH.png/revision/latest?cb=20200319193044,Female,Normal,Bear,March 13th (Pisces),(Pisces),"""sundae""",Lemon Gingham Tee (PC),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"PC, NH"
234,Midge,https://vignette.wikia.nocookie.net/animalcrossing/images/1/15/Midge_NewLeaf_Official.png/revision/latest/scale-to-width-down/301?cb=20130721195051,Female,Normal,Bird,March 12th (Pisces),(Pisces),"""tweedledee""","New Spring Tee (AF, AF+, AC, AFe+, CF, NL), Silk Shirt (NH)",Midge's hair salon,Tongue twisters,Artist,"Blend,Lots of milk,Three spoonfuls of sugar",Iconic,K.K. Lullaby,"AF, AF+, AC, AFe+, CF, NL, NH"
198,Kiki,https://vignette.wikia.nocookie.net/animalcrossing/images/4/4b/Kiki_NL.png/revision/latest/scale-to-width-down/247?cb=20130708021703,Female,Normal,Cat,October 8th (Libra),(Libra),"""kitty cat""",Argyle Knit Shirt,A replica aquarium,Fishing,Writer,"Mocha,Just a little bit of milk,One spoonful of sugar",Basic,K.K. Country,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
211,Lolly,https://vignette.wikia.nocookie.net/animalcrossing/images/6/64/Lolly_NewLeaf_Official.png/revision/latest/scale-to-width-down/236?cb=20130721193353,Female,Normal,Cat,March 27th (Aries),(Aries),"""bonbon""",Natty Tee,A lecture hall,Peeling Apples,Chef,"Mocha,Just a little bit of milk,One spoonful of sugar",Basic,K.K. Stroll,"AFe+, CF, NL, NH"
238,Mitzi,https://vignette.wikia.nocookie.net/animalcrossing/images/6/65/Mitzinewleaf.png/revision/latest/scale-to-width-down/242?cb=20130719080515,Female,Normal,Cat,September 25th (Libra),(Libra),"""mew""","Patchwork Shirt (AC)Gumdrop Tee (WW,CF,NL,PC)","A café with round, zen items",Hula Dancing,Lawyer,"Mocha, Just a little bit of milk, One spoonful of sugar",Rustic,K.K. Swing,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
21,Ava,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bc/Ava_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721171323,Female,Normal,Chicken,April 28th (Taurus),(Taurus),"""beaker""",Checkerboard Tee,A professional kitchen,Peeling apples,Pastry Chef,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Official,K.K. Country,"AF, AF+, AC, AFe+, NL, HHD, PC, NH"
252,Norma,https://vignette.wikia.nocookie.net/animalcrossing/images/6/65/Norma_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161005,Female,Normal,Cow,September 20th (Virgo),(Virgo),"""hoof hoo""",Red Aloha Shirt AFe+Blue Tartan Shirt NL,Unknown,Karaoke,Teacher,"Mocha,Lots of milk,Three spoonfuls of sugar",Unknown,Mountain Song,"AFe+, NL, NH"
189,June,https://vignette.wikia.nocookie.net/animalcrossing/images/1/16/June_HD.png/revision/latest/scale-to-width-down/350?cb=20180410103444,Female,Normal,Cub,May 21st (Gemini),(Gemini),"""rainbow""","Red Aloha Shirt (AFe+)Garden Tank (NL, PC)",Unknown,Photography,"Pharmacist  NL, PC","Blue Mountain,No milk,No sugar",Unknown,K.K. Aria,"AF+, AC, AFe+, NL, PC,NH"
223,Maple,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/Maple_NewHorizons.png/revision/latest?cb=20200407222355,Female,Normal,Cub,June 15th (Gemini),(Gemini),"""honey""","Citrus Gingham (AC, WW, and CF)Dapper Tee (NL)Tree sweater (NH)",A plush bear den,Writing letters,Architect,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Basic,I Love You,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
256,Olive,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c4/Olive_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161153,Female,Normal,Cub,July 12th (Cancer),(Cancer),"""sweet pea""",Dapper Tee(NL)Plover Dress(NH),Unknown,Dancing,Pastry Chef,"Blue Mountain,No milk,No sugar",Basic,Café K.K.,"AF, AF+, AC, AFe+, NL, NH"
274,Pekoe,https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/Pekoe_NH.png/revision/latest?cb=20200409060010,Female,Normal,Cub,May 18th (Taurus),(Taurus),"""bud""",Hot Spring Tee NL)Silk Floral-Print Shirt (NH),An exotic resort,Doodling,Aesthetician,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Iconic,Imperial K.K.,"CF, NL, HHD, PC, NH"
133,Fauna,https://vignette.wikia.nocookie.net/animalcrossing/images/7/72/Fauna.png/revision/latest/scale-to-width-down/350?cb=20161008150856,Female,Normal,Deer,March 26th (Aries),(Aries),"""dearie""",Shearling Coat,A home concert hall,Mental math,Teacher,"Mocha,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Stroll,"NL, HHD, PC, NH"
29,Bea,https://vignette.wikia.nocookie.net/animalcrossing/images/3/39/Bea_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161832,Female,Normal,Dog,October 15th (Libra),(Libra),"""bingo""",Go-go Shirt,Unknown,Waking up early,Dentist,"Kilimanjaro, A little bit of milk, 1 spoonful of sugar",Unknown,K.K. Soul,"AF, AF+, AC, AFe+, NL, NH"
105,Daisy,https://vignette.wikia.nocookie.net/animalcrossing/images/3/36/Daisy_NewLeaf_Official.png/revision/latest/scale-to-width-down/300?cb=20130721182429,Female,Normal,Dog,November 16th (Scorpio),(Scorpio),"""bow-WOW""",Kiddie Tee,A magnet for Santa,Making budgets,Archaeologist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Soul,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH"
156,Goldie,https://vignette.wikia.nocookie.net/animalcrossing/images/8/84/Goldie_NewLeaf_Official.png/revision/latest/scale-to-width-down/309?cb=20130721191242,Female,Normal,Dog,December 27th (Capricorn),(Capricorn),"""woof""","Hippie Shirt (AC)Red Check Tee (WW)Dapper Tee (CF, NL, PC)Tweed Dress (NH)",A forest of books,Dusting,Dentist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Bossa,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
106,Deena,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fd/Deena_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708033218,Female,Normal,Duck,June 27th (Cancer),(Cancer),"""woowoo""","Rainbow Shirt (AC)Kiddie Tee (WW, CF, NL)",A home gym,Blowing bubbles,Illustrator,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Modern,Mr. K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
240,Molly,https://vignette.wikia.nocookie.net/animalcrossing/images/0/04/Molly.png/revision/latest/scale-to-width-down/317?cb=20200428050515,Female,Normal,Duck,March 7th (Pisces),(Pisces),"""quackidee""",Canary Shirt,A publishing house,Drawing circles,Florist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,K.K. Ballad,"NL, HHD, PC, NH"
73,Celia,https://vignette.wikia.nocookie.net/animalcrossing/images/0/00/Celia_NH.png/revision/latest/scale-to-width-down/350?cb=20200225031028,Female,Normal,Eagle,March 25th (Aries),(Aries),"""feathers""",Loud-Bloom Tee,A royal chamber,Brainteasers,Florist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Aria,"NL, HHD, PC, NH"
125,Ellie,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8d/Ellie_HD.png/revision/latest/scale-to-width-down/350?cb=20180518162536,Female,Normal,Elephant,May 12th (Taurus),(Taurus),"""li'l one""",Red Grid Tee,Unknown,Calculating tips,Dentist,"Mocha,The regular amount of milk,2 spoonfuls of sugar",Unknown,Cafe K.K.,"AF, AF+, AC, AFe+, NL, NH"
224,Margie,https://vignette.wikia.nocookie.net/animalcrossing/images/8/80/Margie_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721194145,Female,Normal,Elephant,January 28th (Aquarius),(Aquarius),"""tootie""",Hot Spring Tee,A place full of clothes,Playing old maid,Pastry chef,"Blend,None at all,None at all",Iconic,K.K. Bossa,"AFe+, WW, CF, HHD, PC, NH, Dōbutsu no Mori"
360,Tia,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ef/Tia_HD.png/revision/latest/scale-to-width-down/350?cb=20180518162559,Female,Normal,Elephant,November 18 (Scorpio),(Scorpio),"""teacup""",Garden Tank,A space fit for a tea party,Writing letters,Dentist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Marathon,"NL, HHD, NH"
181,Jambette,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d8/Jambette_NewHorizons.png/revision/latest?cb=20200407191622,Female,Normal,Frog,October 27th (Scorpio),(Scorpio),"""croak-kay""",Prism Tee,A dressing room,Ventriloquism,Artist,"Mocha,Just a little bit of milk,One spoonful of sugar",Modern,K.K. Country,"AF, AF+, AC, AFe+, CF, NL, NH"
207,Lily,https://vignette.wikia.nocookie.net/animalcrossing/images/8/87/Nhlily.png/revision/latest?cb=20200223062309,Female,Normal,Frog,February 4th (Aquarius),(Aquarius),"""toady""",Icy Shirt,A zen space with moist air,Calligraphy,Professor,"Mocha,Just a little bit of milk,One spoonful of sugar",Cute,K.K. Salsa,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH, Nintendo Land"
80,Chevre,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c9/Chevre_NH.png/revision/latest?cb=20200409163246,Female,Normal,Goat,March 6th (Pisces),(Pisces),"""la baa""",Natty Tee,A high-security bank vault,Calculating tips,Teacher,"Blue Mountain,None at all,None at all",Cute,K.K. Chorale,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH"
247,Nan,https://vignette.wikia.nocookie.net/animalcrossing/images/5/56/Nan_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/324?cb=20160930053504,Female,Normal,Goat,August 24th (Virgo),(Virgo),"""kid""",Citrus Gingham ShirtStraw Shirt (NL),A zodiac-figurine stand,Playing horseshoes,Illustrator,"Blue Mountain,None at all,None at all",Basic,K.K. Étude,"AFe+, WW, CF, NL, NH"
139,Flurry,https://vignette.wikia.nocookie.net/animalcrossing/images/3/30/Flurry_HD.png/revision/latest/scale-to-width-down/350?cb=20180405153933,Female,Normal,Hamster,January 30th (Aquarius),(Aquarius),"""powderpuff""",Folk Shirt,A winter wonderland,Peeling apples,Superhero,"Mocha,None at all,None at all",Iconic,Hypno K.K.,"NH,NL, HHD, PC"
35,Bertha,https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/Bertha_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721172833,Female,Normal,Hippo,April 25th (Taurus),(Taurus),"""bloop""",Pink Tartan Shirt (AFe+)  Funky-Dot Tee (NL),A ton of baskets,Drawing circles,Lawyer,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Iconic,Space K.K.,"AF, AF+, AC, AFe+, NL, NH"
