,Name,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image,Updated Date,Tier
229,Sheldon,Male,Jock,Squirrel,February 26th (Pisces),Pisces,"""cardio""",Tiger Jacket,An all-you-can-game room,Making Puns,Mayor,"Kilimanjaro,a little bit of milk,one spoonful of sugar",Rock 'N' Roll,K.K. Folk,"NL, NH",246,135,https://www.animalcrossingportal.com/images/villagers/icons/sheldon.png,15th May 2020,Tier 5
134,Butch,Male,Cranky,Dog,November 1st (Scorpio),Scorpio,"""ROOOOOWF""","Houndstooth Knit (AC)  Arctic-Camo Tee (WW, CF, NL, PC)",A cool dog park,Air Guitar,Race Car Driver,"Blend,No milk,No sugar",Sporty,K.K. Fusion,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",149,38,https://www.animalcrossingportal.com/images/villagers/icons/butch.png,15th May 2020,Tier 5
387,Weber,Male,Lazy,Duck,June 30th (Cancer),Cancer,"""quaa""",Fish Knit AFe+Bubble Tee NL,Unknown,Beat Boxing,Musician,"Blue Mountain, Lots of milk, 3 spoonfuls of sugar",Unknown,K.K. Fusion,"AF, AF+, AC, AFe+, NL, NH",387,133,https://www.animalcrossingportal.com/images/villagers/icons/weber.png,15th May 2020,Tier 6
225,Sally,Female,Normal,Squirrel,June 19th (Gemini),Gemini,"""nutmeg""","Neo-Classic Knit  (AC)Icy Shirt  (WW, CF, NL) Winter Sweater (NH)",A green space with flowers,Blowing Bubbles,Chef,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Official,K.K. Fusion,"AF, AF+, AC, AFe+, WW, CF, NL, NH",349,96,https://www.animalcrossingportal.com/images/villagers/icons/sally.png,15th May 2020,Tier 6
336,Pancetti,Female,Snooty,Pig,November 14th (Scorpio),Scorpio,"""sooey""",Canary Shirt,A sleep sanctuary,Forgetting Stuff,President,"Blue Mountain,A little bit of milk,One spoonful of sugar",Modern,K.K. Fusion,"NL, HHD, NH",305,52,https://www.animalcrossingportal.com/images/villagers/icons/pancetti.png,15th May 2020,Tier 6
59,Cherry,Female,Sisterly,Dog,May 11th (Taurus),Taurus,"""what what""","Spider-web Tee (NL, NH)",A catwalk,Waking Up Early,Dancer,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Rock 'N' Roll,K.K. Fusion,"NL, HHD, PC, NH",24,9,https://www.animalcrossingportal.com/images/villagers/icons/cherry.png,15th May 2020,Tier 2
266,Boyd,Male,Cranky,Gorilla,October 1st (Libra),Libra,"""uh-oh""",Good-fortune clothes,Unknown,Baton Twirling,Pro Wrestler,"Mocha,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Groove,"AFe+, NL, NH",259,8,https://www.animalcrossingportal.com/images/villagers/icons/boyd.png,15th May 2020,Tier 6
352,Quillson,Male,Smug,Duck,December 22nd (Capricorn),Capricorn,"""ridukulous""",Tan Puffy Vest,A recording studio,Skimming Books,Musician,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Groove,"NL, NH",332,79,https://www.animalcrossingportal.com/images/villagers/icons/quillson.png,15th May 2020,Tier 6
152,Dizzy,Male,Lazy,Elephant,July 14th (Cancer),Cancer,"""woo-oo""",No. 5 Shirt,A super-fun play space,Chugging Milk,Journalist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Gumbo,"AF, AF+, AC, AFe+, WW, CF, NL, NH, Nintendo Land",183,72,https://www.animalcrossingportal.com/images/villagers/icons/dizzy.png,15th May 2020,Tier 5
351,Queenie,Female,Snooty,Ostrich,November 13th (Scorpio),Scorpio,"""chicken""","Laced Shirt (AC, WW, CF), Amethyst Tee (NL)",A world of black and white,Hitting Snooze,Dancer,"Kilimanjaro, A little bit of milk, One spoonful of sugar",Ornate,K.K. Gumbo,"AF, AF+, AC, AFe+, WW, CF, NL, NH",331,78,https://www.animalcrossingportal.com/images/villagers/icons/queenie.png,15th May 2020,Tier 6
120,Aurora,Female,Normal,Penguin,January 27th (Aquarius),Aquarius,"""b-b-baby""","Classic Top (AC)  Pink Tartan Tee (WW, CF, NL, PC)",A flower shop,Making Budgets,Doctor,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Official,K.K. Gumbo,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",56,16,https://www.animalcrossingportal.com/images/villagers/icons/aurora.png,15th May 2020,Tier 3
74,Jacques,Male,Smug,Bird,June 22nd (Cancer),Cancer,"""zut alors""",Red Flannel Shirt,A hip music room,Beat Boxing,Singer,"Blend, Lots of milk, Three spoonfuls of sugar",Flashy,K.K. House,"NL, HHD, PC, NH",221,110,https://www.animalcrossingportal.com/images/villagers/icons/jacques.png,15th May 2020,Tier 5
113,Agnes,Female,Sisterly,Pig,April 21st (Taurus),Taurus,"""snuffle""",Dazed Tee,An art museum,Cramming For Tests,Pro Golfer,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Rock 'N' Roll,K.K. House,"NL, HHD, PC, NH",83,13,https://www.animalcrossingportal.com/images/villagers/icons/agnes.png,15th May 2020,Tier 4
138,Canberra,Female,Sisterly,Koala,May 14th (Taurus),Taurus,"""nuh uh""",Green-Stripe Tank,An international restaurant,Making Faces,Tennis Player,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Sporty,K.K. House,"NL, NH",153,42,https://www.animalcrossingportal.com/images/villagers/icons/canberra.png,15th May 2020,Tier 5
265,Boris,Male,Cranky,Pig,November 6th (Scorpio),Scorpio,"""schnort""","Kafei's Shirt (AFe+)Splendid Tee (NL, PC)",Unknown,Tongue Twisters,Singer,"Kilimanjaro,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. House,"AF, AF+, AC, AFe+, NL, NH",258,7,https://www.animalcrossingportal.com/images/villagers/icons/boris.png,15th May 2020,Tier 6
76,Bianca,Female,Peppy,Tiger,December 13th (Sagittarius),Sagittarius,"""glimmer""",Red Down Jacket,A snowman's life,Vaulting,Figure Skater,"Kilimanjaro,No milk,No sugar",Modern,K.K. House,"NL, HHD, PC, NH",100,29,https://www.animalcrossingportal.com/images/villagers/icons/bianca.png,15th May 2020,Tier 4
204,O'Hare,Male,Smug,Rabbit,July 24th (Leo),Leo,"""amigo""",Blue Aloha Tee,A tropical resort,Air Guitar,Musician,"Blend,No milk,No sugar",Modern,K.K. Island,"AF+, AC, AFe+, NL, HHD, PC, NH",244,133,https://www.animalcrossingportal.com/images/villagers/icons/ohare.png,15th May 2020,Tier 5
128,Blaire,Female,Snooty,Squirrel,July 3rd (Cancer),Cancer,"""nutlet""",Peachy Tee,A classy hotel,Calligraphy,Doctor,"Blend, No milk, No sugar.",Official,K.K. Island,"AF, AF+, AC, AFe+, WW, CF, NL, NH",139,28,https://www.animalcrossingportal.com/images/villagers/icons/blaire.png,15th May 2020,Tier 5
31,Tangy,Female,Peppy,Cat,June 17th (Gemini),Gemini,"""reeeeOWR""",Blue Stripe Tee,A deliciously fruity room.,Doing Handstands,Hair Stylist,"Blue Mountain, The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Island,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH, Nintendo Land",22,7,https://www.animalcrossingportal.com/images/villagers/icons/tangy.png,15th May 2020,Tier 2
191,Lyman,Male,Jock,Koala,October 12th (Libra),Libra,"""chips""",Club Tee (NL)Vertical Stripe Shirt (NH),A veggie palace,Forgetting Stuff,Astronaut,"Mocha, No milk, No sugar",Official,K.K. Island,"NL, NH",240,129,https://www.animalcrossingportal.com/images/villagers/icons/lyman.png,15th May 2020,Tier 5
347,Plucky,Female,Sisterly,Chicken,October 12 (Libra),Libra,"""chicky-poo""","Red Aloha Shirt (AFe+)Cool Tank (NL, PC)Tropical Tee (NH)",Unknown,Hula Dancing,Dancer,"Mocha,A little bit of milk,1 spoonful of sugar",Unknown,K.K. Island,"AF+, AC, AFe+, NL, NH",322,69,https://www.animalcrossingportal.com/images/villagers/icons/plucky.png,15th May 2020,Tier 6
2,Audie,Female,Peppy,Wolf,August 31st (Virgo),Virgo,"""Foxtrot""",Sunflower Tee (PC)Tropical Muumuu (NH),Unknown,Unknown,Pop Star,Unknown,Unknown,K.K. Island,"PC, NH",8,8,https://www.animalcrossingportal.com/images/villagers/icons/audie.png,15th May 2020,Tier 1
317,Kevin,Male,Jock,Pig,April 26th (Taurus),Taurus,"""weeweewee""",After-School Jacket,A spaceship,Whistling,Sumo Wrestler,"Mocha,No milk,No sugar",Sporty,K.K. Island,"NL, HHD. NH",229,118,https://www.animalcrossingportal.com/images/villagers/icons/kevin.png,15th May 2020,Tier 5
295,Eloise,Female,Snooty,Elephant,December 8th (Sagittarius),Sagittarius,"""tooooot""","Green Bar Shirt (AF)Yellow-Bar Tee (WW, CF, NL, PC)",A nod to all things green,Memorizing Stuff,Painter,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,K.K. Jazz,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",192,81,https://www.animalcrossingportal.com/images/villagers/icons/eloise.png,15th May 2020,Tier 5
348,Pompom,Female,Peppy,Duck,February 11th (Aquarius),Aquarius,"""rah rah""",No. 4 Shirt,"A splashy, modern garden",Trivia,Ceo,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Jazz,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH",323,70,https://www.animalcrossingportal.com/images/villagers/icons/pompom.png,15th May 2020,Tier 6
285,Croque,Male,Cranky,Frog,July 18th (Cancer),Cancer,"""as if""",Imperial Shirt,A noodle shop,Bunting,Architect,"Kilamanjaro,None at all,None at all",Iconic,K.K. Jongara,"NL, NH",266,15,https://www.animalcrossingportal.com/images/villagers/icons/croque.png,15th May 2020,Tier 6
89,Blanche,Female,Snooty,Ostrich,December 21st (Sagittarius),Sagittarius,"""quite so""",Straw Shirt,A traditional tearoom,Dusting,Chef,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,K.K. Jongara,"NL, HHD, NH",138,27,https://www.animalcrossingportal.com/images/villagers/icons/blanche.png,15th May 2020,Tier 5
304,Greta,Female,Snooty,Mouse,September 5th (Virgo),Virgo,"""yelp""",Blossom Tee,A hot-springs spa,Playing Horseshoes,Florist,"Mocha,No milk,No sugar",Iconic,K.K. Jongara,"NL, HHD, NH",272,21,https://www.animalcrossingportal.com/images/villagers/icons/greta.png,15th May 2020,Tier 6
383,Wade,Male,Lazy,Penguin,October 30th (Scorpio),Scorpio,"""so it goes""","Spade Shirt (AFe+, NL)Frog Shirt (NH)",Unknown,Rock Paper Scissors,Explorer,"Blue Mountain,No milk,No sugar",Unknown,K.K. Jongara,"AFe+, NL, NH",72,2,https://www.animalcrossingportal.com/images/villagers/icons/wade.png,15th May 2020,Tier 4
104,Hornsby,Male,Lazy,Rhino,March 20th (Pisces),Pisces,"""schnozzle""",Chevron Shirt,Unknown,Bunting,Artist,"Blend,A little bit of milk,1 spoonful of sugar",Unknown,K.K. Lament,"AF, AF+, AC, AFe+, NL, NH",58,18,https://www.animalcrossingportal.com/images/villagers/icons/hornsby.png,15th May 2020,Tier 3
241,Tank,Male,Jock,Rhino,May 6th (Taurus),Taurus,"""kerPOW""",No. 1 Shirt,Unknown,Doing Push-Ups,Cartoonist,"Blue Mountain,No Milk,No Sugar",Rock 'N' Roll,K.K. Lament,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",368,114,https://www.animalcrossingportal.com/images/villagers/icons/tank.png,15th May 2020,Tier 6
359,Rocco,Male,Cranky,Hippo,August 18th (Leo),Leo,"""hippie""",Danger Tee,A danger-filled zone,Making Puns,Boxer,"Mocha,No milk,No sugar",Iconic,K.K. Lament,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",342,89,https://www.animalcrossingportal.com/images/villagers/icons/rocco.png,15th May 2020,Tier 6
70,Dobie,Male,Cranky,Wolf,February 17th (Aquarius),Aquarius,"""ohmmm""",Blue Aloha Shirt AFe+Sweater Vest NL,Unknown,Speed Reading,Writer,"Mocha,A little bit of milk,1 spoonful of sugar",Official,K.K. Lament,"AF+, AC, AFe+, NL , NH",99,28,https://www.animalcrossingportal.com/images/villagers/icons/dobie.png,15th May 2020,Tier 4
357,Rizzo,Male,Cranky,Mouse,January 17th (Capricorn),Capricorn,"""squee""",Lavender Robe (Animal Crossing)Ninja Shirt (New Leaf),A hideout,Subsistence Living,Police Officer,"Mocha,No milk,No sugar",Iconic,K.K. Lament,"AF, AF+, AC, AFe+, CF, NL, PC, NH",339,86,https://www.animalcrossingportal.com/images/villagers/icons/rizzo.png,15th May 2020,Tier 6
275,Cesar,Male,Cranky,Gorilla,September 6th (Virgo),Virgo,"""highness""","Two-Ball Tee (AC)A Tee (AF, AF+, AFe+, WW, CF, NL)",A construction site,Vaulting,Basketball Player,"Blend,Just a little bit of milk,One spoonful of sugar",Historical,K.K. Lament,"AF, AF+, AC, AFe+, WW, CF, NL, NH",263,12,https://www.animalcrossingportal.com/images/villagers/icons/cesar.png,15th May 2020,Tier 6
287,Curt,Male,Cranky,Bear,July 1st (Cancer),Cancer,"""fuzzball""",MVP Tee,A glory-days trophy room,Whistling,Carpenter,"Mocha,None at all,None at all",Iconic,K.K. Lament,"AFe+, WW, CF, NL, HHD, PC, NH",175,64,https://www.animalcrossingportal.com/images/villagers/icons/curt.png,15th May 2020,Tier 5
164,Gabi,Female,Peppy,Rabbit,December 16th (Sagittarius),Sagittarius,"""honeybun""",Waffle Tee,A room with a piano,Eating Quickly,Pianist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Ornate,K.K. Love Song,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",201,90,https://www.animalcrossingportal.com/images/villagers/icons/gabi.png,15th May 2020,Tier 5
21,Punchy,Male,Lazy,Cat,April 11th (Aries),Aries,"""mrmpht""","GC Shirt (AF+) Cherry Shirt (AC)Gray Tartan Tee (WW, CF, NL, PC)",A room for entertaining cats,Staying Awake,Cartoonist,"Kilimanjaro,None at all,None at all",Basic,K.K. Love Song,"AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",21,6,https://www.animalcrossingportal.com/images/villagers/icons/punchy.png,15th May 2020,Tier 2
224,Rowan,Male,Jock,Tiger,August 26th (Virgo),Virgo,"""mango""",Blue Aloha Shirt (AC)Aqua Polka Tee (WW - NH,A treasure shop,Waking Up Early,Basketball Player,"Mocha,A little bit of milk,One spoonful of sugar",Rock 'N' Roll,K.K. Love Song,"AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",348,95,https://www.animalcrossingportal.com/images/villagers/icons/rowan.png,15th May 2020,Tier 6
136,Cally,Female,Normal,Squirrel,September 4th (Virgo),Virgo,"""WHEE""",Ladybug Tank,A nice place to do laundry.,Whistling,Lawyer,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Official,K.K. Love Song,"NL, NH",151,40,https://www.animalcrossingportal.com/images/villagers/icons/cally.png,15th May 2020,Tier 5
9,Stitches,Male,Lazy,Cub,February 10th (Aquarius),Aquarius,"""stuffin'""",Big-Star Tee,A colorful toybox,Forgetting Stuff,Lawyer,"Blend,Just a little bit of milk,One spoonful of sugar",Flashy,K.K. Lullaby,"WW, CF, NL, HHD, PC, NH",11,11,https://www.animalcrossingportal.com/images/villagers/icons/stitches.png,15th May 2020,Tier 1
53,Poppy,Female,Normal,Squirrel,August 5th (Leo),Leo,"""nutty""","Rally Tee (CF, NL)Alpinist Dress (NH)",A pet-friendly paradise,Making Budgets,Stylist,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Modern,K.K. Lullaby,"CF, NL, HHD, PC, NH",43,3,https://www.animalcrossingportal.com/images/villagers/icons/poppy.png,15th May 2020,Tier 3
273,Carrie,Female,Normal,Kangaroo,December 5th (Sagittarius),Sagittarius,"""little one""",Toad Tee,A garden for kids to play in,Making Budgets,Illustrator,"Mocha, none at all, none at all",Unknown,K.K. Lullaby,"AF, AF+, AC, AFe+, NL, HHD, PC, NH",261,10,https://www.animalcrossingportal.com/images/villagers/icons/carrie.png,15th May 2020,Tier 6
202,Nate,Male,Lazy,Bear,August 16th (Leo),Leo,"""yawwwn""",Spring Shirt,A cardboard life,Playing Horseshoes,Sumo Wrestler,"Mocha,None at all,None at all",Basic,K.K. Lullaby,"AF, AF+, AC, AFe+, CF, NL, NH",299,47,https://www.animalcrossingportal.com/images/villagers/icons/nate.png,15th May 2020,Tier 6
62,Snake,Male,Jock,Rabbit,November 3rd (Scorpio),Scorpio,"""bunyip""",Zipper Shirt,A ninja mansion,Playing Jacks,Soccer Player,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Sporty,K.K. Lullaby,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",71,1,https://www.animalcrossingportal.com/images/villagers/icons/snake.png,15th May 2020,Tier 4
1,Judy,Female,Snooty,Cub,March 10th (Pisces),Pisces,"""myohmy""",Red Riding Dress,Unknown,Pottery,Unknown,Unknown,Unknown,K.K. Lullaby,"PC, NH",7,7,https://www.animalcrossingportal.com/images/villagers/icons/judy.png,15th May 2020,Tier 1
18,Felicity,Female,Peppy,Cat,March 30th (Aries),Aries,"""mimimi""",Dapper Tee,A television-show set,Rock Paper Scissors,Swimmer,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Lullaby,"AFe+, CF, NL, NH",195,84,https://www.animalcrossingportal.com/images/villagers/icons/felicity.png,15th May 2020,Tier 5
195,Midge,Female,Normal,Bird,March 12th (Pisces),Pisces,"""tweedledee""","New Spring Tee (AF, AF+, AC, AFe+, CF, NL), Silk Shirt (NH)",Midge's hair salon,Tongue Twisters,Artist,"Blend,Lots of milk,Three spoonfuls of sugar",Iconic,K.K. Lullaby,"AF, AF+, AC, AFe+, CF, NL, NH",289,37,https://www.animalcrossingportal.com/images/villagers/icons/midge.png,15th May 2020,Tier 6
367,Crackle,Male,Lazy,Pig,September 3rd (Virgo),Virgo,"""snork""",Jade Plaid Tee,A school cafeteria,Chugging Milk,Poet,"Kilamanjaro,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Mambo,"AF, AF+, AC, AFe+, CF, NL, HHD, NH",172,61,https://www.animalcrossingportal.com/images/villagers/icons/crackle.png,15th May 2020,Tier 5
346,Pippy,Female,Peppy,Rabbit,June 14th (Gemini),Gemini,"""li'l hare""","Ugly shirt  (AC)   Mint Gingham Tee  (WW, CF, NL) ",A striped room,Debating,Superhero,"Blue Mountain, Lots of milk,Three spoonfuls of sugar",Basic,K.K. Mambo,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",320,67,https://www.animalcrossingportal.com/images/villagers/icons/pippy.png,15th May 2020,Tier 6
310,Hugh,Male,Lazy,Pig,December 30th (Capricorn),Capricorn,"""snortle""",Jade Plaid Tee,"Eat, drink, sleep. Repeat.",Eating Quickly,Carpenter,"Kilimanjaro,A lot of milk,Three spoonfuls of sugar",Modern,K.K. Mambo,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",218,107,https://www.animalcrossingportal.com/images/villagers/icons/hugh.png,15th May 2020,Tier 5
178,Jeremiah,Male,Lazy,Frog,July 8th (Cancer),Cancer,"""nee-deep""",Sunset Tee,"A blue room, top to bottom",Hitting Snooze,Writer,"Kilimanjaro, None at all, None at all",Basic,K.K. Mambo,"AF, AF+, AC, AFe+, WW, CF, NL NH",103,32,https://www.animalcrossingportal.com/images/villagers/icons/jeremiah.png,15th May 2020,Tier 4
127,Biskit,Male,Lazy,Dog,May 13th (Taurus),Taurus,"""dog""",Mod Top (AC)  Deep-Blue Tee(NL)Meme Shirt(NH),An eggstravaganza,Hitting Snooze,Architect,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Basic,K.K. Mambo,"AF, AF+, AC, AFe+, WW, CF, NL, NH",137,26,https://www.animalcrossingportal.com/images/villagers/icons/biskit.png,15th May 2020,Tier 5
150,Deli,Male,Lazy,Monkey,May 24th (Gemini),Gemini,"""monch""",Blue Diamond Tee,A room scented by curry,Jumping Rope,Musician,"Blue Mountain, Lots of milk, Three spoonfuls of sugar",Iconic,K.K. Marathon,"NL, NH",180,69,https://www.animalcrossingportal.com/images/villagers/icons/deli.png,15th May 2020,Tier 5
33,Tia,Female,Normal,Elephant,November 18 (Scorpio),Scorpio,"""teacup""",Garden Tank,A space fit for a tea party,Writing Letters,Dentist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Marathon,"NL, HHD, NH",41,1,https://www.animalcrossingportal.com/images/villagers/icons/tia.png,15th May 2020,Tier 3
311,Iggly,Male,Jock,Penguin,November 2nd (Scorpio),Scorpio,"""waddler""",Red-Bar Tee,A winter-sports paradise.,Bunting,Baseball Player,"Mocha,  Lots of milk,  Three spoonfuls of sugar",Basic,K.K. March,"CF, NL, HHD, NH",219,108,https://www.animalcrossingportal.com/images/villagers/icons/iggly.png,15th May 2020,Tier 5
221,Rod,Male,Jock,Mouse,August 14th (Leo),Leo,"""ace""",Zipper Shirt,A pirate hideout,Sprinting,Explorer,"Mocha,  No milk,  No sugar",Rock 'N' Roll,K.K. March,"AFe+, WW, CF, NL, NH",343,90,https://www.animalcrossingportal.com/images/villagers/icons/rod.png,15th May 2020,Tier 6
149,Del,Male,Cranky,Alligator,May 27th (Gemini),Gemini,"""gronk""","Wave Shirt (Animal Forest e+)Blue-Stripe Tee (City Folk, New Leaf, New Horizons)",A shrine of seafaring,Subsistence Living,Firefighter,"Blend,None at all,None at all",Sporty,K.K. March,"AFe+, CF, NL, NH",179,68,https://www.animalcrossingportal.com/images/villagers/icons/del.png,15th May 2020,Tier 5
368,Sprocket,Male,Jock,Ostrich,December 1st (Sagittarius),Sagittarius,"""zort""",No. 67 Shirt,Unknown,Air Guitar,Guitarist,"Mocha,The regular amount of milk,2 spoonfuls of sugar",Unknown,K.K. Metal,"AF, AF+, AC, AFe+, NL, NH",76,6,https://www.animalcrossingportal.com/images/villagers/icons/sprocket.png,15th May 2020,Tier 4
170,Groucho,Male,Cranky,Bear,October 23rd (Libra),Libra,"""grumble""","Windsock Shirt (AC)Lite Polka Tee (CF, NL, PC)",A farming homestead,Competitive Eating,Pro Wrestler,"Blend,The regular amount of milk,Two spoonfuls of sugar",Historical,K.K. Metal,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH",210,99,https://www.animalcrossingportal.com/images/villagers/icons/groucho.png,15th May 2020,Tier 5
374,Tex,Male,Smug,Penguin,October 6th (Libra),Libra,"""picante""",Blue Letter Jacket,A rehearsal room for a band,Sprinting,Basketball Player,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Rock 'N' Roll,K.K. Metal,"NL, HHD, PC, NH",372,118,https://www.animalcrossingportal.com/images/villagers/icons/tex.png,15th May 2020,Tier 6
125,Bella,Female,Peppy,Mouse,December 28th (Capricorn),Capricorn,"""eeks""",Skull Tee,A place to practice singing,Staying Up Late,Singer,"Mocha,No milk,No sugar",Rock 'N' Roll,K.K. Metal,"AFe+, WW, CF, NL, NH",132,21,https://www.animalcrossingportal.com/images/villagers/icons/bella.png,15th May 2020,Tier 5
261,Big Top,Male,Lazy,Elephant,October 3rd (Libra),Libra,"""villain""",No. 3 Shirt,A superhero cafeteria,Tiptoeing,Superhero,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Metal,"AFe+, WW, CF, NL, HHD, PC, NH",256,5,https://www.animalcrossingportal.com/images/villagers/icons/big-top.png,15th May 2020,Tier 6
45,Cyd,Male,Cranky,Elephant,June 9th (Gemini),Gemini,"""rockin'""",Dragon Jacket (PC),Unknown,Unknown,Unknown,Unknown,Unknown,K.K. Metal,"PC, NH",176,65,https://www.animalcrossingportal.com/images/villagers/icons/cyd.png,15th May 2020,Tier 5
301,Gloria,Female,Snooty,Duck,August 12th (Leo),Leo,"""quacker""","Turnip Top (CF)  Corseted Shirt (NL, PC)",An alpine homage,Board Games,Stylist,"Blend,None at all,None at all",Ornate,K.K. Milonga,"CF, NL, NH",205,94,https://www.animalcrossingportal.com/images/villagers/icons/gloria.png,15th May 2020,Tier 5
205,Olaf,Male,Smug,Anteater,May 19th (Taurus),Taurus,"""whiffa""",Matador's Jacket,A million-Bell view,Dancing,Dancer,"Blend,  None at all,  None at all",Official,K.K. Milonga,"New Leaf,  Happy Home Designer,  New Horizons",245,134,https://www.animalcrossingportal.com/images/villagers/icons/olaf.png,15th May 2020,Tier 5
319,Klaus,Male,Smug,Bear,March 31st (Aries),Aries,"""strudel""",Gold-Armor Suit,An ancient bathhouse,Debating,Politician,"Blue Mountain, Just a little bit of milk,  1 spoonful of sugar",Historical,K.K. Milonga,"AF, AF+, AC, AFe+, WW, CF, NL, NH",232,121,https://www.animalcrossingportal.com/images/villagers/icons/klaus.png,15th May 2020,Tier 5
96,Lopez,Male,Smug,Deer,August 20th (Leo),Leo,"""buckaroo""",Brown-Bar Tee (NL)Navy Blue Chimayo Vest (NH),A stylish space,Debating,Ceo,"Blend,Just a little bit of milk,One spoonful of sugar",Flashy,K.K. Milonga,"NL, HHD, NH",237,126,https://www.animalcrossingportal.com/images/villagers/icons/lopez.png,15th May 2020,Tier 5
201,Naomi,Female,Snooty,Cow,February 28th (Pisces),Pisces,"""moolah""",Groovy Tee,An art gallery,Photography,Designer,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Modern,K.K. Milonga,"NL, HHD, PC, NH",298,46,https://www.animalcrossingportal.com/images/villagers/icons/naomi.png,15th May 2020,Tier 6
189,Lionel,Male,Smug,Lion,July 29th (Leo),Leo,"""precisely""",Military Uniform,A guest bathroom or two,Drawing Circles,Professor,"Mocha, Lots of milk,  Three spoonfuls of sugar",Historical,K.K. Moody,"NL, NH",236,125,https://www.animalcrossingportal.com/images/villagers/icons/lionel.png,15th May 2020,Tier 5
308,Hippeux,Male,Smug,Hippo,October 15th (Libra),Libra,"""natch""",Beige Emblem Blazer,An artist's studio,Juggling,Actor,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Ornate,K.K. Moody,"NL, PC, NH",215,104,https://www.animalcrossingportal.com/images/villagers/icons/hippeux.png,15th May 2020,Tier 5
277,Chops,Male,Smug,Pig,October 13th (Libra),Libra,"""zoink""",Red Ringmaster Coat,A king's chamber,Making Crafts,Politician,"Mocha,No milk,No sugar",Ornate,K.K. Moody,"NL,HHD, NH",162,51,https://www.animalcrossingportal.com/images/villagers/icons/chops.png,15th May 2020,Tier 5
182,Keaton,Male,Smug,Eagle,June 1st (Gemini),Gemini,"""wingo""",Raglan Tee,A seaside breakfast nook,Tongue Twisters,Musician,"Blend,None at all,None at all",Flashy,K.K. Moody,"NL, NH",227,116,https://www.animalcrossingportal.com/images/villagers/icons/keaton.png,15th May 2020,Tier 5
228,Shari,Female,Sisterly,Monkey,April 10th (Aries),Aries,"""cheeky""",Silk Bloom Tee,A bed of nonwilting flowers.,Remembering Stuff,Figure Skater,"Blend, No milk, No sugar",Cute,K.K. Oasis,"NL, PC, NH",88,17,https://www.animalcrossingportal.com/images/villagers/icons/shari.png,15th May 2020,Tier 4
232,Soleil,Female,Snooty,Hamster,August 9th (Leo),Leo,"""tarnation""",Swell Tee,A summery stronghold,Skimming Books,Translator,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Modern,K.K. Oasis,"NL, NH",356,103,https://www.animalcrossingportal.com/images/villagers/icons/soleil.png,15th May 2020,Tier 6
